clave;authors;date;name;journal;volume;number;editorial;pages
RAMOS2007; Ramos-Elorduy J., Costa Neto E., Pino J. , Correa M., García-Figueroa J.,Zetina D.;2007;Conocimiento de la entomofauna útil en el poblado La Palmar de Bravo, Estado de Puebla, México;Biotemas;20;2;;121-134
ZARAGOZA2016;Zaragoza Caballero, S. Navarrete-Heredia, J. L., Ramírez García, E.;2016;Temolines Los coleópteros entre los antiguos mexicanos;;;;Universidad Nacional Autónoma de México ;
